"measure";"siteName";"date";"labName";"flowRate";"popServ";"PMMV";"value";"value_load";"value_pmmv";"value_avg14d_past";"value_load_avg14d_past";"value_pmmv_avg14d_past"
"Influenza";"Aalst";2025-09-08;"Sciensano Foodborne Pathogens";589.63;98357;9492.21;0;0;0;NA;NA;NA
"Influenza";"Aalst";2025-09-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-15;"Sciensano Foodborne Pathogens";3524.75;98357;16812.98;0;0;0;NA;NA;NA
"Influenza";"Aalst";2025-09-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Influenza";"Aalst";2025-09-21;NA;NA;NA;NA;NA;NA;NA;0;0;0
"Influenza";"Aalst";2025-09-22;"Sciensano Foodborne Pathogens";626.46;98357;5399.94;0;0;0;0;0;0
"Influenza";"Aalst";2025-09-23;NA;NA;NA;NA;NA;NA;NA;0.0026530612244898;37582475.9990314;3.19256668314031e-07
"Influenza";"Aalst";2025-09-24;NA;NA;NA;NA;NA;NA;NA;0.00795918367346939;112747427.997094;9.57770004942093e-07
"Influenza";"Aalst";2025-09-25;NA;NA;NA;NA;NA;NA;NA;0.0159183673469388;225494855.994189;1.91554000988419e-06
"Influenza";"Aalst";2025-09-26;NA;NA;NA;NA;NA;NA;NA;0.026530612244898;375824759.990314;3.19256668314031e-06
"Influenza";"Aalst";2025-09-27;NA;NA;NA;NA;NA;NA;NA;0.0397959183673469;563737139.985471;4.78885002471047e-06
"Influenza";"Aalst";2025-09-28;NA;NA;NA;NA;NA;NA;NA;0.0557142857142857;789231995.97966;6.70439003459465e-06
"Influenza";"Aalst";2025-09-29;"Sciensano Foodborne Pathogens";580.54;98357;8310.12;0.26;3683082647.90508;3.1287153494775e-05;0.0742857142857143;1052309327.97288;8.93918671279287e-06
"Influenza";"Aalst";2025-09-30;NA;NA;NA;NA;NA;NA;NA;0.0902040816326531;1277804183.96707;1.08547267226771e-05
"Influenza";"Aalst";2025-10-01;NA;NA;NA;NA;NA;NA;NA;0.103469387755102;1465716563.96223;1.24510100642472e-05
"Influenza";"Aalst";2025-10-02;NA;NA;NA;NA;NA;NA;NA;0.114081632653061;1616046467.95835;1.37280367375033e-05
"Influenza";"Aalst";2025-10-03;NA;NA;NA;NA;NA;NA;NA;0.122040816326531;1728793895.95545;1.46858067424454e-05
"Influenza";"Aalst";2025-10-04;NA;NA;NA;NA;NA;NA;NA;0.12734693877551;1803958847.95351;1.53243200790735e-05
"Influenza";"Aalst";2025-10-05;NA;NA;NA;NA;NA;NA;NA;0.13;1841541323.95254;1.56435767473875e-05
"Influenza";"Aalst";2025-10-06;"Sciensano Foodborne Pathogens";626.58;98357;7864.04;0;0;0;0.13;1841541323.95254;1.56435767473875e-05
"Influenza";"Aalst";2025-10-07;NA;NA;NA;NA;NA;NA;NA;0.128673469387755;1823104845.26069;1.55384710923718e-05
"Influenza";"Aalst";2025-10-08;NA;NA;NA;NA;NA;NA;NA;0.126020408163265;1786231887.877;1.53282597823405e-05
"Influenza";"Aalst";2025-10-09;NA;NA;NA;NA;NA;NA;NA;0.122040816326531;1730922451.80147;1.50129428172934e-05
"Influenza";"Aalst";2025-10-10;NA;NA;NA;NA;NA;NA;NA;0.116734693877551;1657176537.03408;1.45925201972307e-05
"Influenza";"Aalst";2025-10-11;NA;NA;NA;NA;NA;NA;NA;0.110102040816327;1564994143.57485;1.40669919221523e-05
"Influenza";"Aalst";2025-10-12;NA;NA;NA;NA;NA;NA;NA;0.102142857142857;1454375271.42378;1.34363579920582e-05
"Influenza";"Aalst";2025-10-13;"Sciensano Foodborne Pathogens";591.5;98357;6194.37;0.13;1876307736.10419;2.09867993032383e-05;0.0928571428571429;1325319920.58086;1.27006184069484e-05
"Influenza";"Aalst";2025-10-14;NA;NA;NA;NA;NA;NA;NA;0.0848979591836735;1214701048.42978;1.20699844768544e-05
"Influenza";"Aalst";2025-10-15;NA;NA;NA;NA;NA;NA;NA;0.078265306122449;1122518654.97055;1.15444562017759e-05
"Influenza";"Aalst";2025-10-16;NA;NA;NA;NA;NA;NA;NA;0.0729591836734694;1048772740.20317;1.11240335817132e-05
"Influenza";"Aalst";2025-10-17;NA;NA;NA;NA;NA;NA;NA;0.0689795918367347;993463304.127633;1.08087166166662e-05
"Influenza";"Aalst";2025-10-18;NA;NA;NA;NA;NA;NA;NA;0.0663265306122449;956590346.743942;1.05985053066348e-05
"Influenza";"Aalst";2025-10-19;NA;NA;NA;NA;NA;NA;NA;0.065;938153868.052096;1.04933996516191e-05
"Influenza";"Aalst";2025-10-20;"Sciensano Foodborne Pathogens";1306.08;98357;6899.8;0;0;0;0.065;938153868.052096;1.04933996516191e-05
"Influenza";"Aalst";2025-10-21;NA;NA;NA;NA;NA;NA;NA;0.0636734693877551;919007870.74491;1.02792486383208e-05
"Influenza";"Aalst";2025-10-22;NA;NA;NA;NA;NA;NA;NA;0.0610204081632653;880715876.130539;9.85094661172408e-06
"Influenza";"Aalst";2025-10-23;NA;NA;NA;NA;NA;NA;NA;0.0570408163265306;823277884.208982;9.20849357182903e-06
"Influenza";"Aalst";2025-10-24;NA;NA;NA;NA;NA;NA;NA;0.051734693877551;746693894.98024;8.35188951863564e-06
"Influenza";"Aalst";2025-10-25;NA;NA;NA;NA;NA;NA;NA;0.0451020408163265;650963908.444311;7.28113445214389e-06
"Influenza";"Aalst";2025-10-26;NA;NA;NA;NA;NA;NA;NA;0.0371428571428571;536087924.601198;5.99622837235379e-06
"Influenza";"Aalst";2025-10-27;"Sciensano Foodborne Pathogens";3664.92;98357;7185.91;0;0;0;0.0278571428571429;402065943.450898;4.49717127926534e-06
"Influenza";"Aalst";2025-10-28;NA;NA;NA;NA;NA;NA;NA;0.0225510204081633;332894352.165259;3.67380440930805e-06
"Influenza";"Aalst";2025-10-29;NA;NA;NA;NA;NA;NA;NA;0.0212244897959184;328573150.74428;3.5261277624819e-06
"Influenza";"Aalst";2025-10-30;NA;NA;NA;NA;NA;NA;NA;0.0238775510204082;389102339.18796;4.05414133878691e-06
"Influenza";"Aalst";2025-10-31;NA;NA;NA;NA;NA;NA;NA;0.0305102040816327;514481917.496301;5.25784513822307e-06
"Influenza";"Aalst";2025-11-01;NA;NA;NA;NA;NA;NA;NA;0.0411224489795918;704711885.669302;7.13723916079038e-06
"Influenza";"Aalst";2025-11-02;NA;NA;NA;NA;NA;NA;NA;0.0557142857142857;959792243.706963;9.69232340648884e-06
"Influenza";"Aalst";2025-11-03;"Sciensano Foodborne Pathogens";706;98357;5748.29;0.26;4479030470.63249;4.52308425636146e-05;0.0742857142857143;1279722991.60928;1.29230978753184e-05
"Influenza";"Aalst";2025-11-04;NA;NA;NA;NA;NA;NA;NA;0.091530612244898;1581229237.18325;1.5866095391672e-05
"Influenza";"Aalst";2025-11-05;NA;NA;NA;NA;NA;NA;NA;0.107448979591837;1864310980.42885;1.85213159555494e-05
"Influenza";"Aalst";2025-11-06;NA;NA;NA;NA;NA;NA;NA;0.122040816326531;2128968221.3461;2.08887595669508e-05
"Influenza";"Aalst";2025-11-07;NA;NA;NA;NA;NA;NA;NA;0.13530612244898;2375200959.935;2.2968426225876e-05
"Influenza";"Aalst";2025-11-08;NA;NA;NA;NA;NA;NA;NA;0.147244897959184;2603009196.19553;2.47603159323252e-05
"Influenza";"Aalst";2025-11-09;NA;NA;NA;NA;NA;NA;NA;0.157857142857143;2812392930.12771;2.62644286862983e-05
"Influenza";"Aalst";2025-11-10;"Sciensano Foodborne Pathogens";842.79;98357;7634.17;0.13;2673429242.45351;1.70287012209579e-05;0.167142857142857;3003352161.73153;2.74807644877953e-05
"Influenza";"Aalst";2025-11-11;NA;NA;NA;NA;NA;NA;NA;0.193826530612245;3619767000.3878;3.03527890998617e-05
"Influenza";"Aalst";2025-11-12;NA;NA;NA;NA;NA;NA;NA;0.237908163265306;4661637446.09651;3.48805025224977e-05
"Influenza";"Aalst";2025-11-13;NA;NA;NA;NA;NA;NA;NA;0.299387755102041;6128963498.85766;4.10639047557032e-05
"Influenza";"Aalst";2025-11-14;NA;NA;NA;NA;NA;NA;NA;0.378265306122449;8021745158.67125;4.89029957994781e-05
"Influenza";"Aalst";2025-11-15;NA;NA;NA;NA;NA;NA;NA;0.474540816326531;10339982425.5373;5.83977756538226e-05
"Influenza";"Aalst";2025-11-16;NA;NA;NA;NA;NA;NA;NA;0.588214285714286;13083675299.4558;6.95482443187365e-05
"Influenza";"Aalst";2025-11-17;"Sciensano Foodborne Pathogens";955.54;98357;9331.14;2.095;48847109204.2254;0.000224517047220383;0.719285714285714;16252823780.4267;8.23544017942199e-05
"Influenza";"Aalst";2025-11-18;NA;NA;NA;NA;NA;NA;NA;0.836989795918367;19430906827.7514;9.40355414128192e-05
"Influenza";"Aalst";2025-11-19;NA;NA;NA;NA;NA;NA;NA;0.941326530612245;22617924441.4298;0.000104591663174534
"Influenza";"Aalst";2025-11-20;NA;NA;NA;NA;NA;NA;NA;1.03229591836735;25813876621.462;0.000114022767079365
"Influenza";"Aalst";2025-11-21;NA;NA;NA;NA;NA;NA;NA;1.10989795918367;29018763367.848;0.000122328853127312
"Influenza";"Aalst";2025-11-22;NA;NA;NA;NA;NA;NA;NA;1.17413265306122;32232584680.5878;0.000129509921318375
"Influenza";"Aalst";2025-11-23;NA;NA;NA;NA;NA;NA;NA;1.225;35455340559.6813;0.000135565971652553
"Influenza";"Aalst";2025-11-24;"Sciensano Foodborne Pathogens";2998.08;98357;7610.69;0.655;47917095478.7153;8.60631559030784e-05;1.2625;38687031005.1285;0.000140497004129848
"Influenza";"Aalst";2025-11-25;NA;NA;NA;NA;NA;NA;NA;1.2959693877551;41415085487.2079;0.000146307803494688
"Influenza";"Aalst";2025-11-26;NA;NA;NA;NA;NA;NA;NA;1.32540816326531;43639504005.9193;0.000152998369747074
"Influenza";"Aalst";2025-11-27;NA;NA;NA;NA;NA;NA;NA;1.35081632653061;45360286561.2628;0.000160568702887006
"Influenza";"Aalst";2025-11-28;NA;NA;NA;NA;NA;NA;NA;1.37219387755102;46577433153.2383;0.000169018802914484
"Influenza";"Aalst";2025-11-29;NA;NA;NA;NA;NA;NA;NA;1.38954081632653;47290943781.8459;0.000178348669829508
"Influenza";"Aalst";2025-11-30;NA;NA;NA;NA;NA;NA;NA;1.40285714285714;47500818447.0856;0.000188558303632078
"Influenza";"Aalst";2025-12-01;"Sciensano Foodborne Pathogens";823.96;98357;5858.83;2.225;44734451030.43;0.000379768656882005;1.41214285714286;47207057148.9574;0.000199647704322194
"Influenza";"Aalst";2025-12-02;NA;NA;NA;NA;NA;NA;NA;1.42811224489796;47353216838.3687;0.000210610634173523
"Influenza";"Aalst";2025-12-03;NA;NA;NA;NA;NA;NA;NA;1.45076530612245;47939297515.3196;0.000221447093186065
"Influenza";"Aalst";2025-12-04;NA;NA;NA;NA;NA;NA;NA;1.48010204081633;48965299179.81;0.00023215708135982
"Influenza";"Aalst";2025-12-05;NA;NA;NA;NA;NA;NA;NA;1.51612244897959;50431221831.84;0.000242740598694788
"Influenza";"Aalst";2025-12-06;NA;NA;NA;NA;NA;NA;NA;1.55882653061225;52337065471.4095;0.000253197645190969
"Influenza";"Aalst";2025-12-07;NA;NA;NA;NA;NA;NA;NA;1.60821428571429;54682830098.5187;0.000263528220848363
"Influenza";"Aalst";2025-12-08;"Sciensano Foodborne Pathogens";2473.63;98357;6290.39;1.44;86916694083.7968;0.000228920623363575;1.66428571428571;57468515713.1673;0.00027373232566697
"Influenza";"Aalst";2025-12-09;NA;NA;NA;NA;NA;NA;NA;1.72704081632653;60145092660.1616;0.000284085466927428
"Influenza";"Aalst";2025-12-10;NA;NA;NA;NA;NA;NA;NA;1.79647959183673;62712560939.5013;0.000294587644629738
"Influenza";"Aalst";2025-12-11;NA;NA;NA;NA;NA;NA;NA;1.87260204081633;65170920551.1866;0.0003052388587739
"Influenza";"Aalst";2025-12-12;NA;NA;NA;NA;NA;NA;NA;1.95540816326531;67520171495.2174;0.000316039109359913
"Influenza";"Aalst";2025-12-13;NA;NA;NA;NA;NA;NA;NA;2.04489795918367;69760313771.5938;0.000326988396387777
"Influenza";"Aalst";2025-12-14;NA;NA;NA;NA;NA;NA;NA;2.14107142857143;71891347380.3157;0.000338086719857493
"Influenza";"Aalst";2025-12-15;"Sciensano Foodborne Pathogens";816.75;98357;6822.01;3.665;73041400205.3743;0.000537231695643952;2.24392857142857;73913272321.3832;0.000349334079769061
"Influenza";"Aalst";2025-12-16;NA;NA;NA;NA;NA;NA;NA;2.32408163265306;74888761295.0159;0.000357918379179457
"Influenza";"Aalst";2025-12-17;NA;NA;NA;NA;NA;NA;NA;2.3815306122449;74817814301.2138;0.00036383961808868
"Influenza";"Aalst";2025-12-18;NA;NA;NA;NA;NA;NA;NA;2.41627551020408;73700431339.9771;0.000367097796496732
"Influenza";"Aalst";2025-12-19;NA;NA;NA;NA;NA;NA;NA;2.42831632653061;71536612411.3055;0.000367692914403611
"Influenza";"Aalst";2025-12-20;NA;NA;NA;NA;NA;NA;NA;2.41765306122449;68326357515.1992;0.000365624971809319
"Influenza";"Aalst";2025-12-21;NA;NA;NA;NA;NA;NA;NA;2.38428571428571;64069666651.6582;0.000360893968713855
"Influenza";"Aalst";2025-12-22;"Sciensano Foodborne Pathogens";792.92;98357;5223.13;0.655;12672918450.1357;0.000125403733010666;2.32821428571429;58766539820.6824;0.000353499905117218
"Influenza";"Aalst";2025-12-23;NA;NA;NA;NA;NA;NA;NA;2.25341836734694;53666372624.6723;0.000343624509463591
"Influenza";"Aalst";2025-12-24;NA;NA;NA;NA;NA;NA;NA;2.15989795918367;48769165063.6281;0.000331267781752974
"Influenza";"Aalst";2025-12-25;NA;NA;NA;NA;NA;NA;NA;2.04765306122449;44074917137.5495;0.000316429721985366
"Influenza";"Aalst";2025-12-26;NA;NA;NA;NA;NA;NA;NA;1.91668367346939;39583628846.4368;0.000299110330160767
"Influenza";"Aalst";2025-12-27;NA;NA;NA;NA;NA;NA;NA;1.76698979591837;35295300190.2897;0.000279309606279178
"Influenza";"Aalst";2025-12-28;NA;NA;NA;NA;NA;NA;NA;1.59857142857143;31209931169.1085;0.000257027550340598
"Influenza";"Aalst";2025-12-29;"Sciensano Foodborne Pathogens";732.88;98357;5484.29;1.045;18687668798.357;0.000190544263705967;1.41142857142857;27327521782.8929;0.000232264162345028
"Influenza";"Aalst";2025-12-30;NA;NA;NA;NA;NA;NA;NA;1.26704081632653;25485496847.905;0.000211432775323126
"Influenza";"Aalst";2025-12-31;NA;NA;NA;NA;NA;NA;NA;1.16540816326531;25683856364.1445;0.000194533389274891
"Influenza";"Aalst";2026-01-01;NA;NA;NA;NA;NA;NA;NA;1.1065306122449;27922600331.6116;0.000181566004200325
"Influenza";"Aalst";2026-01-02;NA;NA;NA;NA;NA;NA;NA;1.09040816326531;32201728750.3063;0.000172530620099427
"Influenza";"Aalst";2026-01-03;NA;NA;NA;NA;NA;NA;NA;1.11704081632653;38521241620.2285;0.000167427236972197
"Influenza";"Aalst";2026-01-04;NA;NA;NA;NA;NA;NA;NA;1.18642857142857;46881138941.3783;0.000166255854818636
"Influenza";"Aalst";2026-01-05;"Sciensano Foodborne Pathogens";NA;98357;13562.74;2.225;NA;0.000164052396492154;1.29857142857143;57281420713.7556;0.000169016473638742
"Influenza";"Aalst";2026-01-06;NA;NA;NA;NA;NA;NA;NA;1.41739795918367;69044707017.9374;0.000173336675926865
"Influenza";"Aalst";2026-01-07;NA;NA;NA;NA;NA;NA;NA;1.54290816326531;82170997853.9236;0.000179216461683005
"Influenza";"Aalst";2026-01-08;NA;NA;NA;NA;NA;NA;NA;1.67510204081633;96660293221.7144;0.000186655830907162
"Influenza";"Aalst";2026-01-09;NA;NA;NA;NA;NA;NA;NA;1.81397959183673;112512593121.31;0.000195654783599336
"Influenza";"Aalst";2026-01-10;NA;NA;NA;NA;NA;NA;NA;1.95954081632653;129727897552.709;0.000206213319759526
"Influenza";"Aalst";2026-01-11;NA;NA;NA;NA;NA;NA;NA;2.11178571428571;148306206515.914;0.000218331439387734
"Influenza";"Aalst";2026-01-12;"Sciensano Foodborne Pathogens";3733.08;98357;8559.49;3.27;297866057728.479;0.000382032107053107;2.27071428571429;168247520010.922;0.000232009142483958
"Influenza";"Aalst";2026-01-13;NA;NA;NA;NA;NA;NA;NA;2.43642857142857;185213982586.965;0.000249970475570844
"Influenza";"Aalst";2026-01-14;NA;NA;NA;NA;NA;NA;NA;2.60892857142857;199205594244.042;0.000272215438648393
"Influenza";"Aalst";2026-01-15;NA;NA;NA;NA;NA;NA;NA;2.78821428571429;210222354982.153;0.000298744031716605
"Influenza";"Aalst";2026-01-16;NA;NA;NA;NA;NA;NA;NA;2.97428571428571;218264264801.298;0.000329556254775478
"Influenza";"Aalst";2026-01-17;NA;NA;NA;NA;NA;NA;NA;3.16714285714286;223331323701.477;0.000364652107825014
"Influenza";"Aalst";2026-01-18;NA;NA;NA;NA;NA;NA;NA;3.36678571428571;225423531682.689;0.000404031590865212
"Influenza";"Aalst";2026-01-19;"Sciensano Foodborne Pathogens";1169.13;98357;6597.14;5.115;145919862134.876;0.000775335978924201;3.57321428571429;224540888744.936;0.000447694703896072
"Influenza";"Aalst";2026-01-20;NA;NA;NA;NA;NA;NA;NA;3.77423469387755;222046928670.713;0.000485623529104516
"Influenza";"Aalst";2026-01-21;NA;NA;NA;NA;NA;NA;NA;3.96984693877551;217941651460.019;0.000517818066490542
"Influenza";"Aalst";2026-01-22;NA;NA;NA;NA;NA;NA;NA;4.16005102040816;212225057112.854;0.000544278316054152
"Influenza";"Aalst";2026-01-23;NA;NA;NA;NA;NA;NA;NA;4.34484693877551;204897145629.219;0.000565004277795344
"Influenza";"Aalst";2026-01-24;NA;NA;NA;NA;NA;NA;NA;4.52423469387755;195957917009.113;0.00057999595171412
"Influenza";"Aalst";2026-01-25;NA;NA;NA;NA;NA;NA;NA;4.69821428571429;185407371252.536;0.000589253337810479
"Influenza";"Aalst";2026-01-26;"Sciensano Foodborne Pathogens";928.83;98357;13051.88;5.63;127599977225.82;0.000431355482888289;4.86678571428571;173245508359.489;0.00059277643608442
"Influenza";"Aalst";2026-01-27;NA;NA;NA;NA;NA;NA;NA;5.04739795918367;168613729867.436;0.000595076737094381
"Influenza";"Aalst";2026-01-28;NA;NA;NA;NA;NA;NA;NA;5.24005102040816;171512035776.377;0.000596154240840361
"Influenza";"Aalst";2026-01-29;NA;NA;NA;NA;NA;NA;NA;5.44474489795918;181940426086.312;0.00059600894732236
"Influenza";"Aalst";2026-01-30;NA;NA;NA;NA;NA;NA;NA;5.66147959183674;199898900797.242;0.000594640856540379
"Influenza";"Aalst";2026-01-31;NA;NA;NA;NA;NA;NA;NA;5.89025510204082;225387459909.165;0.000592049968494417
